Xtal,N,ChiSqrNdf,Tau,dTau,Alpha,dAlpha
13,133603,0.871189,8.87322,1.7715,0.0224078,0.00415713
14,161056,0.665062,6.58016,1.32935,0.0260956,0.00651524
21,183632,1.06982,5.55837,1.45758,0.0266907,0.00962975
22,238896,1.05892,7.46812,1.25263,0.0216155,0.00387562
23,253052,0.970655,10.2583,2.85431,0.0140697,0.00333371
24,263299,0.650103,5.33088,1.83442,0.0157339,0.00766507
29,101683,0.967088,7.98397,2.29035,0.023722,0.00747499
30,183204,0.569884,6.38209,1.34837,0.0240139,0.00627387
31,231339,1.07882,5.18086,1.21118,0.0254704,0.00860555
32,261842,1.15328,8.23647,2.40897,0.0106084,0.00325989
33,265288,0.822508,8.88726,1.7325,0.0194859,0.00364255
34,260176,1.2698,5.89904,2.02284,0.0200231,0.0089989
41,165728,1.0252,8.60271,2.50735,0.0155778,0.00491403
43,194012,1.17137,8.0116,1.89626,0.0214645,0.00501036
22,208753,1.20566,8.60473,3.25146,0.00840788,0.00319203
24,242618,0.671445,5.8566,2.18624,0.0108759,0.00539911
34,240399,1.18589,7.75531,2.91485,0.0108376,0.0042623
42,163178,1.09166,12.2982,5.34888,0.0061784,0.00202963
