calo,xtal,Ep,dEp,dEp/Ep
13,3,0.893922,1.65145,1.84743
13,4,0.891307,0.920649,1.03292
13,5,0.498532,0.184503,0.370092
13,6,0.8986,0.00471665,0.00524889
13,7,0.861677,0.00170501,0.00197872
13,8,0.726364,0.0680926,0.0937443
13,9,1.0011,0.0201203,0.0200982
13,10,0.964588,0.00148768,0.00154229
13,11,0.990556,0.000575437,0.000580923
13,12,0.968241,0.000413986,0.000427565
13,13,0.941597,0.000340284,0.00036139
13,14,0.928505,0.000297764,0.000320691
13,15,0.965988,0.000291296,0.000301553
13,16,0.932483,0.000275456,0.000295401
13,17,0.844918,0.000597776,0.000707495
13,18,1.00545,0.00361459,0.00359498
13,19,0.988805,0.000815007,0.000824235
13,20,1.00388,0.000428843,0.000427185
13,21,0.981029,0.000287111,0.000292663
13,22,0.998077,0.000232526,0.000232974
13,23,0.903692,0.00024732,0.000273677
13,24,0.923764,0.000233504,0.000252774
13,25,0.962102,0.000238699,0.000248101
13,26,0.828863,0.000831947,0.00100372
13,27,0.980465,0.00297433,0.00303359
13,28,0.961487,0.0008433,0.000877079
13,29,0.998491,0.000379079,0.000379652
13,30,0.988241,0.000268606,0.000271802
13,31,0.984577,0.000243376,0.000247189
13,32,1.01217,0.000262365,0.000259211
13,33,0.97676,0.000243113,0.000248897
13,34,0.975705,0.000240653,0.000246645
13,35,0.866923,0.000655286,0.000755876
13,36,0.9725,0.00523628,0.00538435
13,37,0.980025,0.00122653,0.00125153
13,38,0.988429,0.000617053,0.000624276
13,39,0.974824,0.000405995,0.000416481
13,40,0.969758,0.000309232,0.000318876
13,41,0.96754,0.00031056,0.000320978
13,42,0.94986,0.000265501,0.000279516
13,43,0.946195,0.00028575,0.000302
13,44,0.878347,0.000735576,0.000837455
13,48,1.07888,4.84513,4.4909
13,49,0.65893,1.30977,1.98772
13,50,0.838157,0.0579501,0.06914
13,51,0.919239,0.0586483,0.063801
13,52,0.830599,0.0031482,0.00379027
13,53,2.15129e-05,0.167754,7797.82
calo,xtal,Ep,dEp,dEp/Ep
19,3,1.05237,4.86886,4.62659
19,4,1.13374,0.709971,0.626221
19,5,0.916445,0.0379807,0.0414435
19,6,0.897356,0.00408857,0.00455624
19,7,0.895985,0.0033412,0.00372908
19,8,0.787082,0.00850825,0.0108099
19,9,0.977217,0.3239,0.331451
19,10,0.936882,0.00161399,0.00172272
19,11,0.964357,0.000707842,0.000734004
19,12,0.959996,0.000435565,0.000453715
19,13,0.969697,0.000381444,0.000393364
19,14,1.01937,0.000312288,0.000306353
19,15,0.976358,0.000283816,0.000290689
19,16,0.971404,0.000264295,0.000272075
19,17,0.889048,0.000679212,0.000763976
19,18,1.05953,0.388622,0.366787
19,19,0.960092,0.00102237,0.00106486
19,20,1.00431,0.000516829,0.00051461
19,21,0.973877,0.000331356,0.000340244
19,22,1.0033,0.000284861,0.000283925
19,23,0.942739,0.000253588,0.000268991
19,24,0.952956,0.000245906,0.000258045
