Calo,Xtal,N,ChiSqrNdf,Tau,dTau,Alpha,dAlpha
13,13,125556,0.76821,9.74451,2.00479,0.0206299,0.00365094
13,14,151368,0.630941,6.32439,1.21054,0.0281642,0.00699063
13,21,172334,1.08805,4.95689,1.4873,0.0306009,0.0134155
13,22,224161,1.0431,7.68531,1.36692,0.0208079,0.00383175
13,23,237636,1.06549,9.12054,2.78119,0.01514,0.00424461
13,24,247253,0.510358,5.88222,2.03195,0.0142715,0.00655649
13,30,171883,0.556602,6.8402,1.53111,0.0223935,0.00593843
13,31,217020,1.13621,5.17298,1.26904,0.0240246,0.00835597
13,32,245854,1.21858,8.37753,2.66006,0.00980417,0.00325349
13,33,249150,0.811319,8.93386,1.82401,0.0188725,0.00370718
13,41,155591,0.812014,7.69937,2.03881,0.0191778,0.00600806
13,42,174321,1.13468,21.7785,9.36133,0.00894752,0.00167201
13,43,182003,0.994921,7.97896,1.83602,0.0220965,0.00521042
19,22,195871,1.21141,7.59755,3.01165,0.00903734,0.0039139
19,23,217382,0.770131,9.14639,3.73653,0.00633208,0.00275186
19,24,227764,0.781888,6.42469,2.45149,0.00964567,0.00467286
19,34,225493,0.826263,7.5124,2.91412,0.0113339,0.00472579
19,42,153107,0.938144,15.6597,7.15043,0.00575674,0.00164732
