Calo,Xtal,ChiSqrNdf,Tau,dTau,Alpha,dAlpha
13,11,1.00073,5.18033,1.33852,0.031654,0.0124282
13,12,0.620355,8.91639,2.69538,0.0175882,0.00553119
13,13,1.19048,8.69541,2.95085,0.0162247,0.0057924
13,21,1.36439,6.00228,1.91385,0.0293033,0.0123845
13,22,1.1656,6.5888,1.59676,0.0229048,0.00659031
13,23,0.902601,7.13991,1.90177,0.0213104,0.00684732
13,28,0.86149,6.71597,2.30875,0.0172024,0.00751983
13,29,0.973466,8.04687,1.62568,0.0258525,0.00596013
13,30,1.26016,10.8282,3.98013,0.0119991,0.00400563
13,31,1.04985,6.10948,1.85939,0.0219972,0.00848148
13,38,1.16137,15,2.22408,0.0120285,0.0017791
19,22,0.83218,9.02412,3.23116,0.00960806,0.00376942
19,23,0.98679,15,2.81093,0.00618517,0.00182103
19,28,0.585702,11.449,5.2684,0.0076086,0.00341957
19,32,0.991901,10.3137,4.83979,0.00923636,0.00402807
