Calo,Xtal,ChiSqrNdf,Tau,dTau,Alpha,dAlpha
13,10,1.64136,8.18734,3.12179,0.00689773,0.00307552
13,11,0.971265,9.81995,3.95981,0.0108919,0.00401924
13,12,1.07974,8.23419,1.78234,0.0167613,0.00388268
13,13,1.51977,11.486,3.21864,0.0131692,0.0029113
13,21,0.435395,6.36793,1.3085,0.0222897,0.00561018
13,22,0.816974,7.23195,1.10986,0.0214331,0.00381751
13,23,1.38537,5.34994,1.85231,0.0197483,0.0093636
13,24,0.996095,8.45161,2.47035,0.0180182,0.00563778
13,28,0.925659,7.66902,1.17346,0.0207249,0.00358125
13,29,0.665196,9.0465,1.56284,0.016951,0.00299018
13,30,0.977235,6.23963,1.32659,0.017633,0.00486312
13,31,1.01487,4.96137,1.18225,0.0298324,0.010832
13,32,1.03104,7.13079,1.18722,0.0220033,0.0044663
13,33,0.939735,12.4139,2.80019,0.0171109,0.00333557
13,37,1.03777,9.19395,2.08401,0.0180828,0.00411185
13,38,1.05122,4.93644,1.58891,0.0290578,0.0134571
13,41,1.27292,10.8143,3.18402,0.0191165,0.00506592
19,2,3.38378,15,0.410762,0.1,0.00822705
19,13,1.23145,11.1161,3.4032,0.00744652,0.00234663
19,38,0.764286,9.05881,3.4501,0.00740449,0.00302485
19,46,2.38036,15,0.828142,0.1,0.0218199
