Calo,Xtal,ChiSqrNdf,Tau,dTau,Alpha,dAlpha
13,11,0.905258,6.81337,1.54232,0.0250872,0.00699003
13,12,0.887279,7.14972,1.44289,0.0223556,0.00513803
13,13,1.06299,6.55362,1.35679,0.0245373,0.00647813
13,20,1.28863,5.81551,1.79876,0.0141347,0.0060145
13,21,1.14932,8.05215,1.364,0.0162985,0.00312074
13,22,0.745703,6.25148,0.764824,0.0306172,0.00474909
13,23,1.01906,8.91416,2.29135,0.0129557,0.00342791
13,24,1.0458,10.431,2.96081,0.0146763,0.00405195
13,28,1.13238,7.12382,1.2288,0.0240012,0.00492751
13,29,0.688899,7.7061,1.18043,0.0244321,0.00414059
13,31,1.0327,5.69902,1.13556,0.0262054,0.00718814
13,32,1.01881,7.61572,1.10421,0.0240271,0.00405792
13,33,1.38045,8.12975,1.55036,0.0246574,0.00519179
13,37,0.868825,9.57542,2.10728,0.016685,0.00360653
13,38,1.17673,10.1479,2.1216,0.0157573,0.00323541
13,39,1.15881,6.13694,1.29457,0.0259422,0.00750281
13,40,0.76603,7.18006,2.01283,0.0131822,0.00442311
13,41,1.31896,7.87403,1.70709,0.0224833,0.00578168
13,42,1.06175,6.6985,1.94507,0.0364778,0.0143331
19,22,1.21801,6.91379,2.37905,0.00986784,0.00415162
19,29,1.22599,6.98386,2.56088,0.0106558,0.00460839
19,32,1.06286,8.57308,2.99556,0.0121797,0.00454562
19,33,1.34302,9.44086,3.05255,0.0107854,0.00371143
19,38,0.911304,9.16108,4.2128,0.00797871,0.00365533
