Calo,Xtal,ChiSqrNdf,Tau,dTau,Alpha,dAlpha
13,12,1.19695,9.43714,1.99421,0.0194387,0.00406163
13,13,0.818215,9.78667,2.27888,0.0214773,0.00519653
13,19,1.10527,9.68303,3.72817,0.00949125,0.00379297
13,20,0.71167,7.01501,2.5225,0.0173319,0.00769608
13,21,1.41319,7.04865,1.63075,0.0212739,0.00605715
13,22,0.555715,11.441,2.21067,0.0163108,0.00265968
13,28,1.006,7.0989,2.0103,0.0234605,0.00765001
13,30,1.31789,5.54367,1.33067,0.0294805,0.00992471
13,32,1.08049,10.9045,2.1001,0.019405,0.00370249
13,37,0.714813,8.72261,2.46684,0.020949,0.00586727
13,41,1.32203,9.03679,2.62923,0.0235834,0.00704604
19,12,0.878131,9.77617,4.35623,0.00762109,0.00329763
19,22,1.13376,6.97373,2.41985,0.0124252,0.00542126
19,28,1.08961,10.221,3.19738,0.00971984,0.00304806
19,29,1.12219,15,3.43061,0.00547448,0.00139509
19,32,1.8494,11.1715,5.10313,0.0116721,0.00498926
