Calo,Xtal,Alpha,Tau,dAlpha,
13,11,0.0237267,4.34978,0.00152402,
13,12,0.0203332,6.40426,0.00094647,
13,13,0.0225,5.93205,0.00100332,
13,21,0.0207481,6.03589,0.000983301,
13,22,0.0205915,6.87494,0.000919524,
13,23,0.0257182,3.87097,0.0016529,
13,28,0.0167867,7.04035,0.000869217,
13,29,0.0235612,6.22363,0.000954549,
13,30,0.0310164,3.12306,0.00242751,
13,31,0.0206985,3.9483,0.00172605,
13,38,0.018872,6.33013,0.000940133,
19,22,0.00899229,8.02941,0.000870656,
19,23,0.0101053,3.97663,0.00163124,
19,28,0.00732025,6.90469,0.00092949,
19,32,0.00956838,7.52079,0.000895689,
