Calo,Xtal,Alpha,Tau,dAlpha,,
13,10,0.0165252,3.47705,0.00125356,,
13,11,0.0215211,4.34978,0.00106644,,
13,12,0.0179725,6.40426,0.000646616,,
13,13,0.0184366,5.93205,0.000672007,,
13,21,0.0169668,6.03589,0.000671074,,
13,22,0.0172751,6.87494,0.000620181,,
13,23,0.0214741,3.87097,0.00110442,,
13,24,0.0251792,3.81788,0.00122006,,
13,28,0.0138028,7.04035,0.000583885,,
13,29,0.0180942,6.22363,0.000642912,,
13,30,0.0238387,3.12306,0.00165021,,
13,31,0.0195841,3.9483,0.00115093,,
13,32,0.0180649,6.56567,0.000631621,,
13,33,0.0229113,6.29207,0.000669474,,
13,37,0.0202781,6.66243,0.000616968,,
13,38,0.015177,6.33013,0.000641555,,
13,41,0.0167998,6.43669,0.000671638,,
19,2,0.00633784,6.63333,0.000653862,,
19,13,0.00711045,6.74184,0.000629274,,
19,38,0.00758449,7.52286,0.000593203,,
19,46,0.00874556,7.27032,0.000642147,,
