Calo,Xtal,Alpha,Tau,dAlpha,
13,11,0.025308,4.34978,0.000813517,
13,12,0.0202673,6.40426,0.000490011,
13,13,0.0216739,5.93205,0.00050779,
13,20,0.017028,4.03409,0.000874135,
13,21,0.0194842,6.03589,0.000503922,
13,22,0.0197659,6.87494,0.000460273,
13,23,0.0248558,3.87097,0.00082356,
13,24,0.0307983,3.81788,0.000928653,
13,28,0.0165359,7.04035,0.000437426,
13,29,0.0231189,6.22363,0.0004833,
13,31,0.0220479,3.9483,0.000880348,
13,32,0.0203949,6.56567,0.000477335,
13,33,0.0259846,6.29207,0.000509659,
13,37,0.0247306,6.66243,0.000473173,
13,38,0.0187071,6.33013,0.000484026,
13,39,0.0274352,3.47789,0.00104279,
13,40,0.0197989,3.47835,0.000973177,
13,41,0.0198175,6.43669,0.000509061,
13,42,0.0282194,7.05795,0.00049449,
19,22,0.00682143,8.02941,0.000455128,
19,29,0.00715847,7.07323,0.000451882,
19,32,0.00992795,7.52079,0.000479388,
19,33,0.00732247,7.14427,0.000458151,
19,38,0.00834934,7.52286,0.000447864,
