Calo,Xtal,Alpha,Tau,dAlpha,
13,12,0.0198814,6.40426,0.00084539,
13,13,0.0214336,5.93205,0.000878535,
13,19,0.0167166,3.59435,0.00154988,
13,20,0.0162639,4.03409,0.00148916,
13,21,0.0189348,6.03589,0.000878281,
13,22,0.0200534,6.87494,0.000803995,
13,28,0.0156253,7.04035,0.000759018,
13,30,0.0329298,3.12306,0.00212267,
13,32,0.0206528,6.56567,0.000823226,
13,37,0.0231722,6.66243,0.000799435,
13,41,0.0206962,6.43669,0.000866821,
19,12,0.00781951,6.63486,0.000876827,
19,22,0.00750303,8.02941,0.000756187,
19,28,0.00683973,6.90469,0.000846482,
19,29,0.00819407,7.07323,0.000771476,
19,32,0.00949889,7.52079,0.000789437,
