Reading ... ../makePlots2/fits_time_normalised_xtal.root
Station 13
xtal, Entries, chiSqr/NDF, tau, A 
13, 0.748803, 115373, 5.81719+-1.42035, 0.0305214+-0.00963227
14, 0.899204, 151090, 6.31176+-1.09373, 0.0266249+-0.00595732
15, 0.829364, 172501, 3.92406+-1.45363, 0.0328026+-0.0226611
16, 0.749807, 170788, 4.49272+-1.74504, 0.0232065+-0.0147137
22, 0.772536, 179529, 7.37614+-1.59159, 0.0207498+-0.00500195
23, 0.784104, 237072, 8.93723+-2.43178, 0.0140866+-0.00396525
24, 0.749807, 240487, 5.39094+-2.17486, 0.0145637+-0.00824952
25, 1.31464, 224305, 3.77031+-2.01508, 0.0207267+-0.0204175
31, 0.543317, 180540, 5.78812+-1.75421, 0.0219581+-0.00859096
32, 0.97665, 217223, 9.11314+-3.15564, 0.0115207+-0.00377944
33, 0.920889, 242104, 8.31892+-1.62287, 0.0200373+-0.00407605
34, 0.641176, 225136, 6.37193+-1.53827, 0.0194091+-0.00590929
35, 0.998732, 114926, 0.547262+-0.868975, 352.487+-5709.44
40, 0.780675, 109379, 4.24777+-2.05549, 0.0289125+-0.0232585
41, 1.04803, 148295, 8.25106+-2.37405, 0.0178004+-0.0058544
42, 0.669001, 171773, 25.5991+-7.54813, 0.00875009+-0.00125778
43, 0.862211, 167117, 7.99487+-1.65615, 0.0230769+-0.00517741
Station 19
xtal, Entries, chiSqr/NDF, tau, A 
13, 0.729394, 100526, 8.17135+-6.00624, 0.00759394+-0.00584675
15, 0.843592, 165771, 8038.47+-1841.53, 0.149037+-0.00249865
22, 1.07717, 151719, 6.62664+-2.64853, 0.0114336+-0.0054129
23, 0.937426, 213995, 9.39046+-3.88925, 0.00455591+-0.00202924
24, 0.866819, 223910, 9.4355+-3.94759, 0.00711419+-0.00277641
25, 0.845585, 212489, 4.67545+-2.10891, 0.0101943+-0.00723911
26, 1.01709, 114302, 9.77101+-5.48177, 0.0094651+-0.00538562
31, 0.881192, 168598, 4.65923+-3.77196, 0.0104244+-0.0127094
32, 0.767036, 208554, 7.14102+-4.48631, 0.00420233+-0.003359
33, 0.971764, 224655, 9.96197+-6.03041, 0.00512109+-0.00283089
34, 0.789115, 209131, 7.59519+-2.50975, 0.0114329+-0.00404387
35, 1.10137, 114066, 8.34942+-4.69375, 0.0116725+-0.0073674
41, 1.07823, 126020, 0.559946+-0.470531, 214.117+-1944.58
42, 0.801971, 148410, 11.4486+-4.0387, 0.00752158+-0.00227116
43, 1.05602, 140350, 67.8035+-79.2395, 0.00333057+-0.00141575

Surviving xtals: 32
Created : taus_time_normalised_xtal_Q.root
