Reading ... ../makePlots2/fits_time_normalised_xtal.root
Station 13
xtal, Entries, chiSqr/NDF, tau, A 
3, 2.63541e-19, 4, -6319.56+-2.12132, 0+-2921.93
4, 0.596333, 97, 43.1014+-23.6693, -4.23067+-2.2256
5, 12.6655, 825, 22.6663+-0.706539, -76.5115+-5.0474
6, 12.701, 3623, 1.25858+-2.2412, 67.7734+-1006.75
7, 10.143, 8502, 3.95544+-6.88128, 0.0749503+-0.230397
8, 13.5053, 3179, 3779.74+-6734.81, 0.768917+-0.322225
9, inf, 2, -4893.98+-2.12132, 0+-8.16617
10, 0.799341, 371, 66.0135+-4.89074, -1135.31+-1251.43
11, 6.26588, 9445, 96.2892+-268.092, -0.0161727+-0.0254622
12, 0.808345, 60896, 3.40148+-2.26369, 0.0688054+-0.0871211
13, 0.748803, 115373, 5.81719+-1.42035, 0.0305214+-0.00963227
14, 0.899204, 151090, 6.31176+-1.09373, 0.0266249+-0.00595732
15, 0.829364, 172501, 3.92406+-1.45363, 0.0328026+-0.0226611
16, 0.749807, 170788, 4.49272+-1.74504, 0.0232065+-0.0147137
17, 1.05121, 89131, 109.633+-193.519, 0.00784149+-0.00705518
18, 1.75365e-20, 6, -7478.31+-2.12132, 0+-234.951
19, 1.04382, 437, 45.3253+-6.38705, -28.435+-13.2134
20, 2.93565, 13836, 16.3799+-19.2284, 0.0158621+-0.014239
21, 7.70318, 106369, 5.24002+-1.87312, 0.026357+-0.0139061
22, 0.772536, 179529, 7.37614+-1.59159, 0.0207498+-0.00500195
23, 0.784104, 237072, 8.93723+-2.43178, 0.0140866+-0.00396525
24, 0.749807, 240487, 5.39094+-2.17486, 0.0145637+-0.00824952
25, 1.31464, 224305, 3.77031+-2.01508, 0.0207267+-0.0204175
26, 6.51354, 99150, 0.503475+-0.45368, 1541.83+-16662.6
27, 0.0506489, 7, 9.3857+-15.0793, -4.56166+-7.24574
28, 10.8472, 776, 9.22209+-0.490504, -86.0054+-11.3965
29, 1.95256, 16557, 79.928+-229.279, 0.00683631+-0.00819012
30, 6.88897, 102850, 6.84854+-1.93706, 0.0205021+-0.00701464
31, 0.543317, 180540, 5.78812+-1.75421, 0.0219581+-0.00859096
32, 0.97665, 217223, 9.11314+-3.15564, 0.0115207+-0.00377944
33, 0.920889, 242104, 8.31892+-1.62287, 0.0200373+-0.00407605
