St13,,
xtal_fiducial,,
Xtal,Value,Error
5,0.886130455,1.750341417
6,0.614316709,0.927274643
7,0.884905681,0.605591014
8,0.404585421,0.556528101
10,0.830714522,0.022689819
11,0.959312672,0.029505079
12,0.953787045,0.003171595
13,0.942065804,0.002083938
14,0.934322045,0.001255905
15,0.974796149,0.00132753
16,0.938974566,0.001229115
17,0.847715828,0.002995475
19,1.129134746,4.497349929
20,0.428019819,0.52938908
21,0.976722236,0.002654027
22,1,0.001463834
23,0.899715129,0.001057905
24,0.928009208,0.001002096
25,0.972506268,0.001155361
26,0.817607832,0.00217946
28,0.826452069,1.888204167
29,0.965462812,0.032150145
30,0.976715162,0.002277012
31,0.984711557,0.001343199
32,1.019659024,0.001436711
33,0.983169474,0.001143345
34,0.983319034,0.001099202
35,0.851905523,0.001979282
37,1.020269389,5.149237445
38,0.931485462,0.545680275
39,0.958069709,0.004014264
40,0.971579604,0.001823764
41,0.968000275,0.001396425
42,0.955528204,0.001188592
43,0.951518385,0.001268098
44,0.867038343,0.002746109
50,0.902751799,1.584486734
51,1.296484032,0.862047757
52,0.885491794,0.887640411
53,0.631278605,0.710336229
St19,,
xtal_fiducial,,
Xtal,Value,Error
4,1.165454591,4.633599346
5,0.886596788,2.298946868
6,0.888316115,0.118750801
7,2.522185858,0.590004334
8,0.517543674,0.563811792
11,1.006030717,0.671576661
12,0.938076063,0.002973268
13,0.964438077,0.001719972
14,1.023347661,0.001623081
15,0.976392932,0.001221738
16,0.97288289,0.001559943
17,0.877535631,0.002644432
19,0.8468019,3.715481533
20,0.950310434,0.534813766
21,0.944934268,0.003852341
22,1,0.001482075
23,0.939709926,0.001130196
24,0.956279818,0.001159011
25,1.00267652,0.001241022
26,0.896421084,0.002241967
29,1.09024156,0.906686083
30,0.962166755,0.001732354
31,0.93875575,0.001488106
32,0.963961491,0.001293695
33,0.976159666,0.001152178
34,0.985573738,0.001140618
35,0.887972249,0.002325583
37,0.830652289,0.78645372
38,1.034291029,2.545850338
39,0.954810849,0.002764458
40,0.903936857,0.001893688
41,0.983755876,0.001376129
42,0.978488299,0.001421854
43,0.913910967,0.001150122
44,0.879952744,0.002155758
49,0.982514139,37.22542494
50,0.853111128,0.961883397
51,0.575056683,2.106793391
52,0.718431491,0.81867647
53,0.729952995,0.808617909
