St13,,
xtal_full,,
Xtal,Value,Error
0,0.964,0.016
1,0.997,0.01
2,0.966,0.014
3,0.975,0.008
4,0.999,0.004
5,0.994,0.005
6,0.998,0.002
7,1.004,0.002
8,1.005,0.002
9,0.979,0.003
10,1.003,0.004
11,0.983,0.004
12,0.98,0.003
13,1.003,0.002
14,1.001,0.002
15,1.02,0.001
16,1.003,0.001
17,1.001,0.001
18,1.004,0.002
19,1.423,0.007
20,1.01,0.002
21,1,0.001
22,1,0.001
23,1.017,0.001
24,1.016,0.001
25,1.027,0.001
26,1.004,0.001
27,1,0.002
28,0.999,0.003
29,1.007,0.002
30,0.988,0.002
31,0.989,0.001
32,1.011,0.001
33,1.025,0.001
34,1.006,0.001
35,1.009,0.001
36,0.981,0.004
37,0.983,0.006
38,0.968,0.005
39,0.979,0.004
40,0.988,0.002
41,0.996,0.002
42,1.011,0.002
43,0.997,0.001
44,1.014,0.001
45,1.035,0.025
46,0.969,0.032
47,1.022,0.018
48,0.958,0.009
49,0.98,0.008
50,0.986,0.004
51,0.99,0.003
52,1.018,0.002
53,1.001,0.002
St19,,
xtal_full,,
Xtal,Value,Error
0,0.717,0.025
1,0.844,0.29
2,0.999,0.096
3,0.976,0.05
4,0.977,0.078
5,0.97,0.012
6,0.961,0.008
7,0.991,0.005
8,0.972,0.006
9,0.986,0.01
10,0.965,0.01
11,1.033,0.025
12,1.369,0.018
13,0.962,0.011
14,1.014,0.006
15,0.987,0.005
16,0.995,0.003
17,1.005,0.002
18,0.955,0.003
19,0.999,0.005
20,0.99,0.007
21,0.98,0.006
22,1,0.004
23,0.999,0.003
24,1.01,0.003
25,1.001,0.003
26,0.992,0.002
27,0.982,0.004
28,0.997,0.006
29,0.999,0.004
30,0.96,0.004
31,0.98,0.005
32,1.019,0.003
33,0.999,0.003
34,1.03,0.002
35,0.999,0.003
36,0.975,0.007
37,0.996,0.01
38,0.927,0.01
39,1.051,0.035
40,0.994,0.007
41,0.975,0.006
42,1.011,0.004
43,1.003,0.004
44,1.01,0.002
45,0.709,0.036
46,0.896,0.789
47,1.008,0.133
48,1.021,0.074
49,0.995,0.047
50,0.986,0.049
51,0.99,0.01
52,1.019,0.008
53,1.032,0.004
