0,| 163.220+/-,2.54
1,| 169.697+/-,1.798
2,| 164.760+/-,2.556
3,| 166.254+/-,1.502
4,| 170.124+/-,0.758
5,| 168.645+/-,0.829
6,| 169.317+/-,0.291
7,| 170.403+/-,0.319
8,| 170.565+/-,0.316
9,| 166.706+/-,0.514
10,| 170.269+/-,0.741
11,| 166.763+/-,0.621
12,| 166.328+/-,0.521
13,| 170.224+/-,0.404
14,| 169.852+/-,0.294
15,| 173.090+/-,0.253
16,| 170.220+/-,0.204
17,| 169.928+/-,0.191
18,| 171.286+/-,0.319
19,| 241.547+/-,1.156
20,| 171.352+/-,0.331
21,| 169.750+/-,0.232
22,| 169.705+/-,0.211
23,| 172.634+/-,0.152
24,| 172.408+/-,0.159
25,| 174.296+/-,0.18
26,| 170.327+/-,0.159
27,| 170.414+/-,0.299
28,| 169.473+/-,0.513
29,| 170.823+/-,0.398
30,| 167.707+/-,0.256
31,| 167.799+/-,0.212
32,| 171.503+/-,0.16
33,| 173.893+/-,0.168
34,| 170.782+/-,0.152
35,| 171.276+/-,0.147
36,| 167.147+/-,0.636
37,| 166.779+/-,0.975
38,| 164.302+/-,0.857
39,| 166.060+/-,0.656
40,| 167.652+/-,0.415
41,| 169.070+/-,0.265
42,| 171.576+/-,0.256
43,| 169.269+/-,0.191
44,| 172.095+/-,0.208
45,| 174.894+/-,3.559
46,| 162.733+/-,3.784
47,| 172.071+/-,2.076
48,| 162.758+/-,1.437
49,| 166.972+/-,1.371
50,| 167.413+/-,0.689
51,| 167.966+/-,0.434
52,| 172.796+/-,0.377
53,| 169.920+/-,0.31
0,121.946+/,4.268
1,143.590+/-,49.251
2,169.915+/-,16.251
3,165.946+/-,8.586
4,166.124+/-,13.237
5,165.003+/-,2.01
6,| 163.487+/-,1.33
7,| 168.560+/-,0.919
8,| 165.309+/-,1
9,| 167.739+/-,1.616
10,| 164.057+/-,1.709
11,| 175.651+/-,4.279
12,| 232.724+/-,3.031
13,| 163.582+/-,1.906
14,| 172.412+/,1.094
15,| 167.872+/-,0.812
16,| 169.250+/-,0.573
17,| 170.840+/-,0.36
18,| 162.339+/-,0.589
19,| 169.957+/-,0.851
20,| 168.286+/-,1.121
21,| 166.655+/-,1.055
22,| 170.054+/-,0.73
23,| 169.862+/-,0.532
24,| 171.733+/-,0.469
25,| 170.281+/-,0.538
26,| 168.762+/-,0.409
27,| 166.987+/-,0.682
28,| 169.609+/-,1.08
29,| 169.896+/-,0.743
30,| 163.266+/-,0.67
31,| 166.642+/-,0.789
32,| 173.293+/-,0.553
33,| 169.799+/-,0.536
34,| 175.145+/-,0.378
35,| 169.860+/-,0.462
36,| 165.795+/-,1.248
37,| 169.297+/,1.722
38,| 157.631+/-,1.757
39,| 178.675+/-,5.917
40,| 169.112+/-,1.247
41,| 165.807+/-,0.94
42,| 171.995+/-,0.703
43,| 170.509+/-,0.72
44,| 171.825+/-,0.327
45,| 120.533+/-,6.075
46,| 152.410+/-,134.111
47,| 171.475+/-,22.681
48,| 173.593+/-,12.542
49,| 169.245+/-,7.993
50,| 167.701+/-,8.32
51,| 168.352+/-,1.62
52,| 173.262+/-,1.395
53,| 175.516+/-,0.728
