St13
Xtal,Value,Error
3,0.000000,0.000000
4,0.000000,0.000000
5,0.876252,0.006169
6,0.897896,0.007179
7,0.866483,0.003238
8,0.775285,0.010754
10,0.000000,0.000000
11,0.955821,0.002008
12,0.958488,0.000558
13,0.938073,0.000351
14,0.927378,0.000301
15,0.964868,0.000295
16,0.935428,0.000231
17,0.859809,0.000639
18,0.000000,0.000000
19,0.000000,0.000000
20,0.969114,0.001488
21,0.971014,0.000392
22,0.992537,0.000292
23,0.903221,0.000247
24,0.924822,0.000234
25,0.964318,0.000244
26,0.846196,0.000687
27,0.000000,0.000000
28,0.858738,0.020098
29,0.965862,0.001328
30,0.975818,0.000417
31,0.980074,0.000303
32,1.007578,0.000280
33,0.975574,0.000244
34,0.977408,0.000243
35,0.880651,0.000653
37,0.000000,0.000000
38,0.952668,0.001873
39,0.962778,0.000552
40,0.966088,0.000373
41,0.964782,0.000339
42,0.949969,0.000298
43,0.948574,0.000307
44,0.889266,0.000663
48,0.000000,0.000000
49,0.000000,0.000000
50,0.856850,0.010271
51,0.870968,0.019707
52,0.837061,0.004123
53,0.000000,0.000000
St19
Xtal,Value,Error
3,0.000000,0.000000
4,0.000000,0.000000
5,0.919151,0.014712
6,0.905411,0.016027
7,0.891883,0.002702
8,0.802598,0.005843
10,0.000000,0.000000
11,0.921427,0.001982
12,0.948597,0.000645
13,0.965956,0.000423
14,1.016133,0.000334
15,0.975459,0.000291
16,0.972899,0.000263
17,0.904105,0.000690
18,0.000000,0.000000
19,0.000000,0.000000
20,0.951741,0.001929
21,0.958685,0.000431
22,0.994951,0.000346
23,0.940885,0.000255
24,0.952881,0.000196
25,0.997639,0.000267
26,0.920969,0.000615
27,0.000000,0.000000
28,0.000000,0.000000
29,0.955118,0.001539
30,0.969541,0.000477
31,0.942846,0.000307
32,0.959926,0.000263
33,0.972160,0.000234
34,0.980902,0.000247
35,0.915593,0.000605
37,0.815901,0.002929
38,0.956863,0.002946
39,0.960999,0.000693
40,0.907809,0.000388
41,0.975943,0.000340
42,0.976922,0.000310
43,0.914367,0.000316
44,0.893492,0.000694
48,0.846350,0.025919
49,0.000000,0.000000
50,0.873518,0.018168
51,0.866358,0.005692
52,0.835930,0.004612
53,0.770480,0.010242
