St13
Xtal,Value,Error
6,0.983059,0.004328
7,1.011566,0.003347
8,0.973384,0.045667
9,0.000000,0.000000
10,1.008903,0.001651
11,0.999335,0.000562
12,0.999904,0.000374
13,1.000037,0.000289
14,1.000191,0.000265
15,0.999905,0.000270
16,1.000200,0.000267
17,1.000107,0.000670
18,1.030771,0.004806
19,1.007372,0.001201
20,1.000294,0.000392
21,1.000029,0.000269
22,1.000233,0.000211
23,0.999760,0.000246
24,0.999768,0.000224
25,0.999943,0.000215
26,1.000907,0.000861
27,0.000000,0.000000
28,1.007071,0.001093
29,0.999964,0.000354
30,0.999976,0.000248
31,1.000017,0.000225
32,0.999510,0.000209
33,1.000074,0.000216
34,1.000014,0.000221
35,1.000104,0.000649
36,1.000104,0.000649
37,1.005383,0.001957
38,1.000581,0.000568
39,0.999902,0.000386
40,0.999885,0.000282
41,0.999858,0.000286
42,1.000052,0.000261
43,0.999694,0.000258
44,1.001408,0.000756
50,1.020561,0.030904
51,0.982090,0.010391
52,0.994555,0.003626
St19
Xtal,Value,Error
5,1.009369,0.032829
6,1.007760,0.006049
7,1.002873,0.002979
8,1.003693,0.009699
10,1.013459,0.003652
11,1.000678,0.000683
12,0.999909,0.000394
13,1.000051,0.000324
14,0.999793,0.000263
15,0.999665,0.000257
16,1.000064,0.000241
17,0.999502,0.000743
18,0.000000,0.000000
19,1.010880,0.001148
20,0.999957,0.000476
21,1.000100,0.000293
22,1.000002,0.000242
23,1.000052,0.000229
24,0.999811,0.000228
25,1.000156,0.000214
26,1.000966,0.000643
28,1.009758,0.001302
29,0.999708,0.000446
30,1.000319,0.000317
31,1.000257,0.000279
32,1.000049,0.000223
33,1.000162,0.000209
34,1.000029,0.000219
35,0.998843,0.000636
36,0.998843,0.000636
37,1.012892,0.002696
38,1.000518,0.000661
39,1.000126,0.000487
40,1.000127,0.000372
41,1.000135,0.000293
42,0.999940,0.000268
43,1.000140,0.000291
44,0.999597,0.000706
50,0.000000,0.000000
51,1.007083,0.020989
52,1.002205,0.004926
53,0.994915,0.015113
