St13
Xtal,Value,Error
3,0.000000,0.000000
4,0.000000,0.000000
5,0.000000,0.000000
6,0.909089,0.019868
7,0.857935,0.002265
8,0.760828,0.020392
9,1.010763,0.009788
10,0.964396,0.001380
11,0.990628,0.000566
12,0.968032,0.000410
13,0.941642,0.000318
14,0.928545,0.000296
15,0.965965,0.000296
16,0.932443,0.000270
17,0.845730,0.000647
18,1.000259,0.005921
19,0.988751,0.000784
20,1.003988,0.000470
21,0.980969,0.000300
22,0.998127,0.000240
23,0.903806,0.000252
24,0.923857,0.000234
25,0.962057,0.000237
26,0.828784,0.000826
27,0.980551,0.003106
28,0.960845,0.000752
29,0.998613,0.000380
30,0.988121,0.000271
31,0.984742,0.000256
32,1.012233,0.000265
33,0.976681,0.000177
34,0.975721,0.000239
35,0.866216,0.000634
36,0.973000,0.005236
37,0.980704,0.001626
38,0.988602,0.000621
39,0.974806,0.000406
40,0.969965,0.000329
41,0.967639,0.000316
42,0.949849,0.000276
43,0.946244,0.000282
44,0.878217,0.000703
48,0.000000,0.000000
49,0.000000,0.000000
50,0.858325,0.032821
51,0.887663,0.022020
52,0.838922,0.005139
53,0.000000,0.000000
St19
Xtal,Value,Error
3,0.000000,0.000000
4,0.000000,0.000000
5,0.899297,0.015098
6,0.896642,0.003735
7,0.892057,0.002326
8,0.787452,0.008959
9,0.000000,0.000000
10,0.937114,0.001370
11,0.964057,0.000738
12,0.959772,0.000435
13,0.969573,0.000375
14,1.019352,0.000307
15,0.976352,0.000288
16,0.971380,0.000270
17,0.890717,0.000745
18,0.946048,0.007835
19,0.959767,0.001022
20,1.004122,0.000507
21,0.973885,0.000332
22,1.003122,0.000280
23,0.942714,0.000259
24,0.952988,0.000247
25,0.996662,0.000256
26,0.906319,0.000721
27,0.000000,0.000000
28,0.999172,0.001138
29,1.005389,0.000454
30,0.989161,0.000339
31,0.949201,0.000297
32,0.962750,0.000257
33,0.973013,0.000180
34,0.979244,0.000240
35,0.905354,0.000675
36,0.904000,0.007854
37,0.862588,0.002088
38,0.998169,0.000705
39,0.980293,0.000514
40,0.912041,0.000380
41,0.979148,0.000326
42,0.978384,0.000308
43,0.912004,0.000312
44,0.884554,0.000728
48,0.000000,0.000000
49,0.000000,0.000000
50,0.867216,0.025119
51,0.870307,0.007025
52,0.838457,0.004931
53,0.766878,0.010934
